2026-04-19T13:33:25.779Z	-	-	started	-
2026-04-19T13:33:25.780Z	specify	1	started	-
2026-04-19T13:33:25.793Z	specify	-	called	-
2026-04-19T13:33:40.746Z	specify	-	passed	-
2026-04-19T13:33:40.746Z	specify	-	passed	-
2026-04-19T13:33:40.746Z	specify	1	passed	14966
2026-04-19T13:33:40.747Z	specify	-	artifacts	-
2026-04-19T13:33:40.748Z	clarify	1	started	-
2026-04-19T13:33:40.757Z	clarify	-	called	-
2026-04-19T13:34:22.113Z	clarify	-	passed	-
2026-04-19T13:34:22.113Z	clarify	1	passed	41364
2026-04-19T13:34:22.114Z	clarify	-	artifacts	-
2026-04-19T13:34:22.114Z	plan	1	started	-
2026-04-19T13:34:22.120Z	plan	-	called	-
2026-04-19T13:34:26.242Z	plan	-	passed	-
2026-04-19T13:34:26.242Z	plan	1	passed	4127
2026-04-19T13:34:26.242Z	plan	-	artifacts	-
2026-04-19T13:34:26.243Z	tasks	1	started	-
2026-04-19T13:34:26.249Z	tasks	-	called	-
2026-04-19T13:34:27.479Z	tasks	-	passed	-
2026-04-19T13:34:27.479Z	tasks	1	passed	1235
2026-04-19T13:34:27.479Z	tasks	-	artifacts	-
2026-04-19T13:34:27.480Z	analyze	1	started	-
2026-04-19T13:34:27.494Z	analyze	-	called	-
2026-04-19T13:38:11.072Z	analyze	-	passed	-
2026-04-19T13:38:11.073Z	analyze	1	passed	223589
2026-04-19T13:38:11.073Z	analyze	-	artifacts	-
2026-04-19T13:38:11.074Z	critic	1	started	-
2026-04-19T13:38:11.083Z	critic	-	called	-
